Name,Category,Format & Duration,Instructions,Equipment Needed,Training Goals,Scaling Options,Movement Types,Target Stimulus,Score Type,Level,Environment,Coach Notes,Stimulus,Description,Estimated-Times,Estimated-Times-Human,Warmup,Coaching-Cues,Scaling-Tiers,Flavor-Text,WorkoutID,DifficultyTier,Instructions_Clean
Power Endurance AMRAP,Amrap/interval,AMRAP 18,"6 hang power snatches (95/29.5 kgs), 12 toes-to-bar, 18 abmat Sit-ups.","Barbell (95/29.5 kgs), Pull-up Bar","Power Endurance, Midline Stability","Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Gymnastics, Weightlifting",General,Rounds,Intermediate,Gym,"For Power Endurance AMRAP: Focus on consistent pacing, maintain proper form throughout, and scale appropriately to preserve workout stimulus. Break up reps strategically and prioritize breathing rhythm. See CrossFit.com for detailed guidance.",Aerobic/Mixed (Long AMRAP),No description available,"{""RX_rounds"": 13, ""Intermediate_rounds"": 10, ""Beginner_rounds"": 6, ""Minutes"": 12}",5m 0s,"5-10 min general cardio (row/jog/bike); Hip hinge mobility: kettlebell deadlift warm-up, Romanian deadlift 3x8",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""3 Hang Power Snatches (47/14.2 kgs), 6 Toes-to-Bar, 9 AbMat Sit-ups. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""6 Hang Power Snatches (95/29.5 kgs), 12 Toes-to-Bar, 18 AbMat Sit-ups. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""6 Hang Power Snatches (95/29.5 kgs), 12 Toes-to-Bar, 18 AbMat Sit-ups. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""6 Hang Power Snatches (95/29.5 kgs), 12 Toes-to-Bar, 18 AbMat Sit-ups. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}",Power Endurance AMRAP - A aerobic/mixed (long amrap) challenge that demands focus and grit.,227,Intermediate,"6 hang power snatches (95/29.5 kgs), 12 toes-to-bar, 18 abmat sit-ups."
High Rep Thruster II,Grind/endurance,For Time,"50 double unders, 25 thrusters (75/24.9 kgs).","Jump Rope, Barbell (75/24.9 kgs)","Skill Under Fatigue, Lactic Tolerance","Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Monostructural, Weightlifting",General,Time,Intermediate,Gym,"For High Rep Thruster II: Focus on consistent pacing, maintain proper form throughout, and scale appropriately to preserve workout stimulus. Break up reps strategically and prioritize breathing rhythm. See CrossFit.com for detailed guidance.",For Time - High Intensity Pacing,No description available,"{""RX"": 300, ""Intermediate"": 420, ""Beginner"": 600}",5m 0s,"5-10 min general cardio (row/jog/bike); Air squats and goblet squats progression, ankle mobility",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Break thrusters into manageable sets; keep front rack tight.,"{""Beginner"": ""25 Double Unders, 12 Thrusters (37/12.4 kgs). - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""50 Double Unders, 25 Thrusters (75/24.9 kgs). - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""50 Double Unders, 25 Thrusters (75/24.9 kgs). - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""50 Double Unders, 25 Thrusters (75/24.9 kgs). - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}",High Rep Thruster II - A for time - high intensity pacing challenge that demands focus and grit.,228,Intermediate,"50 double unders, 25 thrusters (75/24.9 kgs)."
Rowing EMOM Cycle,Emom/pacing,EMOM 24,odd: 250m row (for pace). even: 10 burpees over rower.,Rower,"Pacing Strategy, Aerobic Power","Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Gymnastics, Monostructural",General,Rounds/Load,Intermediate,Gym,"For Rowing EMOM Cycle: Focus on consistent pacing, maintain proper form throughout, and scale appropriately to preserve workout stimulus. Break up reps strategically and prioritize breathing rhythm. See CrossFit.com for detailed guidance.",Interval Power / Strength-Endurance,No description available,"{""RX_rounds"": 15, ""Intermediate_rounds"": 12, ""Beginner_rounds"": 7, ""Minutes"": 12}",Time varies by athlete,5-10 min general cardio (row/jog/bike),Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""Odd: 125m Row (for pace). Even: 5 Burpees over Rower. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""Odd: 250m Row (for pace). Even: 10 Burpees over Rower. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""Odd: 250m Row (for pace). Even: 10 Burpees over Rower. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""Odd: 250m Row (for pace). Even: 10 Burpees over Rower. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}",Rowing EMOM Cycle - Brutal but fair; pace wisely and prioritize technique.,229,Intermediate,Odd: 250m row (for pace). even: 10 burpees over rower.
Bodyweight Endurance,Bodyweight/travel,For Time,"50 air squats, 400m run.",Running Space,"High Volume Legs, Aerobic Stamina","Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",Monostructural,Long aerobic gymnastics endurance.,Time,Intermediate,Gym,Move continuously; avoid red-lining; break push-ups early.,For Time - High Intensity Pacing,No description available,"{""RX"": 240, ""Intermediate"": 336, ""Beginner"": 480}",4m 0s,5-10 min general cardio (row/jog/bike); Strides or ramped efforts for 6x20s,Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""25 Air Squats, 200m Run. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""50 Air Squats, 400m Run. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""50 Air Squats, 400m Run. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""50 Air Squats, 400m Run. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}",Bodyweight Endurance - A for time - high intensity pacing challenge that demands focus and grit.,230,Beginner,"50 air squats, 400m run."
Dumbbell Engine Cycle,Dumbbell/kettlebell,For Time,"20 dumbbell thrusters (35/11.3 kgs), 400m run.",2 Dumbbells (35/11.3 kgs),"Muscular Endurance, Locomotor Skill","Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Monostructural, Weightlifting",General,Time,Intermediate,Gym,"For Dumbbell Engine Cycle: Focus on consistent pacing, maintain proper form throughout, and scale appropriately to preserve workout stimulus. Break up reps strategically and prioritize breathing rhythm. See CrossFit.com for detailed guidance.",For Time - High Intensity Pacing,No description available,"{""RX"": 360, ""Intermediate"": 503, ""Beginner"": 720}",6m 0s,"5-10 min general cardio (row/jog/bike); Air squats and goblet squats progression, ankle mobility; Strides or ramped efforts for 6x20s",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Break thrusters into manageable sets; keep front rack tight.,"{""Beginner"": ""10 Dumbbell Thrusters (17/5.1 kgs), 200m Run. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""20 Dumbbell Thrusters (35/11.3 kgs), 400m Run. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""20 Dumbbell Thrusters (35/11.3 kgs), 400m Run. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""20 Dumbbell Thrusters (35/11.3 kgs), 400m Run. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}",Dumbbell Engine Cycle - A for time - high intensity pacing challenge that demands focus and grit.,231,Advanced,"20 dumbbell thrusters (35/11.3 kgs), 400m run."
Heavy Hold Penalty,Grind/endurance,For Time,"15 deadlifts (225/70.3 kgs). after each set, hold a heavy Kettlebell/dumbbell farmer's carry for 1 minute (static hold or walk). for time","Barbell (225/70.3 kgs), Heavy KB/DB","Strength Endurance, Isometric Stamina","Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",Weightlifting,General,Time,Intermediate,Gym,"For Heavy Hold Penalty: Focus on consistent pacing, maintain proper form throughout, and scale appropriately to preserve workout stimulus. Break up reps strategically and prioritize breathing rhythm. See CrossFit.com for detailed guidance.",For Time - High Intensity Pacing,No description available,"{""RX"": 300, ""Intermediate"": 420, ""Beginner"": 600}",5m 0s,"5-10 min general cardio (row/jog/bike); Hip hinge mobility: kettlebell deadlift warm-up, Romanian deadlift 3x8",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Maintain neutral spine; use mixed grip for heavy sets if needed. Aim for unbroken swings if possible; hinge from the hips.,"{""Beginner"": ""7 Deadlifts (112/35.1 kgs). After each set, hold a Heavy Kettlebell/Dumbbell Farmer's Carry for 1 minute (static hold or walk). - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""15 Deadlifts (225/70.3 kgs). After each set, hold a Heavy Kettlebell/Dumbbell Farmer's Carry for 1 minute (static hold or walk). - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""15 Deadlifts (225/70.3 kgs). After each set, hold a Heavy Kettlebell/Dumbbell Farmer's Carry for 1 minute (static hold or walk). - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""15 Deadlifts (225/70.3 kgs). After each set, hold a Heavy Kettlebell/Dumbbell Farmer's Carry for 1 minute (static hold or walk). - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}",Heavy Hold Penalty - Expect sharp efforts and quick transitions; small mistakes add up.,232,Intermediate,"15 deadlifts (225/70.3 kgs). after each set, hold a heavy kettlebell/dumbbell farmer's carry for 1 minute (static hold or walk). complete the following for time"
Hyrox Half,Grind/endurance,For Time,"500m ski erg, 25m sled push (heavy), 400m run, 500m row, 50m farmer's carry (heavy), 15 wall balls.","Ski Erg, Sled, KB/DBs, Wall Ball","Metabolic Transition, Pacing","Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Monostructural, Weightlifting",General,Time,Intermediate,Gym,"For Hyrox Half: Focus on consistent pacing, maintain proper form throughout, and scale appropriately to preserve workout stimulus. Break up reps strategically and prioritize breathing rhythm. See CrossFit.com for detailed guidance.",For Time - High Intensity Pacing,No description available,"{""RX"": 330, ""Intermediate"": 461, ""Beginner"": 660}",5m 30s,"5-10 min general cardio (row/jog/bike); Air squats and goblet squats progression, ankle mobility; Strides or ramped efforts for 6x20s",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""250m Ski Erg, 12m Sled Push (Heavy), 200m Run, 250m Row, 25m Farmer's Carry (Heavy), 7 Wall Balls. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""500m Ski Erg, 25m Sled Push (Heavy), 400m Run, 500m Row, 50m Farmer's Carry (Heavy), 15 Wall Balls. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""500m Ski Erg, 25m Sled Push (Heavy), 400m Run, 500m Row, 50m Farmer's Carry (Heavy), 15 Wall Balls. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""500m Ski Erg, 25m Sled Push (Heavy), 400m Run, 500m Row, 50m Farmer's Carry (Heavy), 15 Wall Balls. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}",Hyrox Half - Brutal but fair; pace wisely and prioritize technique.,234,Intermediate,"500m ski erg, 25m sled push (heavy), 400m run, 500m row, 50m farmer's carry (heavy), 15 wall balls."
The Burpee Tax,Monostructural/cardio,For Time,"400m run, 15 burpee broad jumps (equivalent to 30m).",Running Space,"Running Under Fatigue, Explosiveness","Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Gymnastics, Monostructural",General,Time,Intermediate,Gym,"For The Burpee Tax: Focus on consistent pacing, maintain proper form throughout, and scale appropriately to preserve workout stimulus. Break up reps strategically and prioritize breathing rhythm. See CrossFit.com for detailed guidance.",For Time - High Intensity Pacing,No description available,"{""RX"": 240, ""Intermediate"": 336, ""Beginner"": 480}",4m 0s,5-10 min general cardio (row/jog/bike); Strides or ramped efforts for 6x20s,Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""200m Run, 7 Burpee Broad Jumps (equivalent to 15m). - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""400m Run, 15 Burpee Broad Jumps (equivalent to 30m). - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""400m Run, 15 Burpee Broad Jumps (equivalent to 30m). - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""400m Run, 15 Burpee Broad Jumps (equivalent to 30m). - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}",The Burpee Tax - Brutal but fair; pace wisely and prioritize technique.,235,Beginner,"400m run, 15 burpee broad jumps (equivalent to 30m)."
Sled Double,Grind/endurance,For Time,"50m sled push (very heavy), 50m sled pull (very heavy), 20 sandbag squats (heavy).","Sled, Sandbag","Maximal Strength Endurance, Grip","Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",General,General,Time,Intermediate,Gym,"For Sled Double: Focus on consistent pacing, maintain proper form throughout, and scale appropriately to preserve workout stimulus. Break up reps strategically and prioritize breathing rhythm. See CrossFit.com for detailed guidance.",For Time - High Intensity Pacing,No description available,"{""RX"": 330, ""Intermediate"": 461, ""Beginner"": 660}",5m 30s,"5-10 min general cardio (row/jog/bike); Scapular pull-ups, ring rows or banded pull-ups",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Use kip efficiently; consider banded pull-ups to keep turnover high.,"{""Beginner"": ""25m Sled Push (Very Heavy), 25m Sled Pull (Very Heavy), 10 Sandbag Squats (Heavy). - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""50m Sled Push (Very Heavy), 50m Sled Pull (Very Heavy), 20 Sandbag Squats (Heavy). - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""50m Sled Push (Very Heavy), 50m Sled Pull (Very Heavy), 20 Sandbag Squats (Heavy). - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""50m Sled Push (Very Heavy), 50m Sled Pull (Very Heavy), 20 Sandbag Squats (Heavy). - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}",Sled Double - Brutal but fair; pace wisely and prioritize technique.,236,Intermediate,"50m sled push (very heavy), 50m sled pull (very heavy), 20 sandbag squats (heavy)."
Engine & Core,Monostructural/cardio,AMRAP 25,"400m run, 20 Kettlebell swings (24/16 kg), 20 ghd Sit-ups (or v-ups).","Running Space, KB, GHD (or Mat)","Aerobic Pacing, Midline Endurance","Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Gymnastics, Monostructural, Weightlifting",General,Rounds,Intermediate,Gym,"For Engine & Core: Focus on consistent pacing, maintain proper form throughout, and scale appropriately to preserve workout stimulus. Break up reps strategically and prioritize breathing rhythm. See CrossFit.com for detailed guidance.",Aerobic/Mixed (Long AMRAP),No description available,"{""RX_rounds"": 12, ""Intermediate_rounds"": 9, ""Beginner_rounds"": 6, ""Minutes"": 12}",4m 0s,"5-10 min general cardio (row/jog/bike); Hip hinge mobility: kettlebell deadlift warm-up, Romanian deadlift 3x8; Strides or ramped efforts for 6x20s",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Aim for unbroken swings if possible; hinge from the hips.,"{""Beginner"": ""200m Run, 10 Kettlebell Swings (12/8 kg), 10 GHD Sit-ups (or V-ups). - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""400m Run, 20 Kettlebell Swings (24/16 kg), 20 GHD Sit-ups (or V-ups). - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""400m Run, 20 Kettlebell Swings (24/16 kg), 20 GHD Sit-ups (or V-ups). - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""400m Run, 20 Kettlebell Swings (24/16 kg), 20 GHD Sit-ups (or V-ups). - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}",Engine & Core - A aerobic/mixed (long amrap) challenge that demands focus and grit.,237,Advanced,"400m run, 20 kettlebell swings (24/16 kg), 20 ghd sit-ups (or v-ups)."
The Wall Ball Killer,Grind/endurance,For Time,"100 wall balls (20/6.4 kgs). every minute on the minute, perform 10 calorie row. (starts with row at 0:00).","Wall Ball, Rower","Lactic Tolerance, Consistency","Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Monostructural, Weightlifting",General,Time,Intermediate,Gym,"For The Wall Ball Killer: Focus on consistent pacing, maintain proper form throughout, and scale appropriately to preserve workout stimulus. Break up reps strategically and prioritize breathing rhythm. See CrossFit.com for detailed guidance.",For Time - High Intensity Pacing,No description available,"{""RX"": 330, ""Intermediate"": 461, ""Beginner"": 660}",5m 30s,"5-10 min general cardio (row/jog/bike); Air squats and goblet squats progression, ankle mobility",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Set a rhythm and target the top of the wall mark consistently.,"{""Beginner"": ""50 Wall Balls (10/3.2 kgs). Every minute on the minute, perform 5 Calorie Row. (Starts with Row at 1:1). - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""100 Wall Balls (20/6.4 kgs). Every minute on the minute, perform 10 Calorie Row. (Starts with Row at 0:00). - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""100 Wall Balls (20/6.4 kgs). Every minute on the minute, perform 10 Calorie Row. (Starts with Row at 0:00). - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""100 Wall Balls (20/6.4 kgs). Every minute on the minute, perform 10 Calorie Row. (Starts with Row at 0:00). - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}",The Wall Ball Killer - A for time - high intensity pacing challenge that demands focus and grit.,238,Intermediate,"100 wall balls (20/6.4 kgs). every minute on the minute, perform 10 calorie row. (starts with row at 0:00)."
Farmer's Run,Grind/endurance,For Time,"200m run, 100m dual Kettlebell farmer's carry (heavy), 20 burpees.","Running Space, 2 Heavy KBs","Grip Stamina, Carry under Fatigue","Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Gymnastics, Monostructural, Weightlifting",General,Time,Intermediate,Gym,"For Farmer's Run: Focus on consistent pacing, maintain proper form throughout, and scale appropriately to preserve workout stimulus. Break up reps strategically and prioritize breathing rhythm. See CrossFit.com for detailed guidance.",For Time - High Intensity Pacing,No description available,"{""RX"": 330, ""Intermediate"": 461, ""Beginner"": 660}",5m 30s,"5-10 min general cardio (row/jog/bike); Hip hinge mobility: kettlebell deadlift warm-up, Romanian deadlift 3x8; Strides or ramped efforts for 6x20s",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Aim for unbroken swings if possible; hinge from the hips.,"{""Beginner"": ""100m Run, 50m Dual Kettlebell Farmer's Carry (Heavy), 10 Burpees. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""200m Run, 100m Dual Kettlebell Farmer's Carry (Heavy), 20 Burpees. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""200m Run, 100m Dual Kettlebell Farmer's Carry (Heavy), 20 Burpees. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""200m Run, 100m Dual Kettlebell Farmer's Carry (Heavy), 20 Burpees. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}",Farmer's Run - Brutal but fair; pace wisely and prioritize technique.,239,Intermediate,"200m run, 100m dual kettlebell farmer's carry (heavy), 20 burpees."
Hyrox Sprint EMOM,Emom/pacing,EMOM 16,min 1: 500m row (fast pace). min 2: 15 burpees. min 3: 400m run (fast pace). min 4: 15 wall balls.,"Rower, Running Space, Wall Ball","Anaerobic Power, Speed Endurance","Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Gymnastics, Monostructural, Weightlifting",General,Rounds/Load,Intermediate,Gym,"For Hyrox Sprint EMOM: Focus on consistent pacing, maintain proper form throughout, and scale appropriately to preserve workout stimulus. Break up reps strategically and prioritize breathing rhythm. See CrossFit.com for detailed guidance.",Interval Power / Strength-Endurance,No description available,"{""RX_rounds"": 15, ""Intermediate_rounds"": 12, ""Beginner_rounds"": 7, ""Minutes"": 12}",Time varies by athlete,"5-10 min general cardio (row/jog/bike); Air squats and goblet squats progression, ankle mobility",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Set a rhythm and target the top of the wall mark consistently.,"{""Beginner"": ""Min 1: 250m Row (Fast Pace). Min 1: 7 Burpees. Min 1: 200m Run (Fast Pace). Min 2: 7 Wall Balls. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""Min 1: 500m Row (Fast Pace). Min 2: 15 Burpees. Min 3: 400m Run (Fast Pace). Min 4: 15 Wall Balls. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""Min 1: 500m Row (Fast Pace). Min 2: 15 Burpees. Min 3: 400m Run (Fast Pace). Min 4: 15 Wall Balls. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""Min 1: 500m Row (Fast Pace). Min 2: 15 Burpees. Min 3: 400m Run (Fast Pace). Min 4: 15 Wall Balls. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}",Hyrox Sprint EMOM - Brutal but fair; pace wisely and prioritize technique.,240,Intermediate,Min 1: 500m row (fast pace). min 2: 15 burpees. min 3: 400m run (fast pace). min 4: 15 wall balls.
The Cardio Mix,Monostructural/cardio,For Time,"1000m bike, 500m row, 200m run. rest 90 seconds between rounds.","Bike, Rower, Running Space","Pacing Strategy, Machine Transition","Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",Monostructural,General,Time,Intermediate,Gym,"For The Cardio Mix: Focus on consistent pacing, maintain proper form throughout, and scale appropriately to preserve workout stimulus. Break up reps strategically and prioritize breathing rhythm. See CrossFit.com for detailed guidance.",For Time - High Intensity Pacing,No description available,"{""RX"": 330, ""Intermediate"": 461, ""Beginner"": 660}",5m 30s,5-10 min general cardio (row/jog/bike); Strides or ramped efforts for 6x20s,Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""500m Bike, 250m Row, 100m Run. Rest 45 seconds between rounds. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""1000m Bike, 500m Row, 200m Run. Rest 90 seconds between rounds. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""1000m Bike, 500m Row, 200m Run. Rest 90 seconds between rounds. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""1000m Bike, 500m Row, 200m Run. Rest 90 seconds between rounds. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}",The Cardio Mix - Brutal but fair; pace wisely and prioritize technique.,242,Intermediate,"1000m bike, 500m row, 200m run. rest 90 seconds between rounds."
The Ultimate Grind,Grind/endurance,For Time,"1000m ski, 80 burpee broad jumps, 200m farmer's carry (heavy), 100 wall balls.","Ski Erg, KB/DBs, Wall Ball","Maximal Work Capacity, Grit","Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Gymnastics, Weightlifting",General,Time,Intermediate,Gym,"For The Ultimate Grind: Focus on consistent pacing, maintain proper form throughout, and scale appropriately to preserve workout stimulus. Break up reps strategically and prioritize breathing rhythm. See CrossFit.com for detailed guidance.",For Time - High Intensity Pacing,No description available,"{""RX"": 360, ""Intermediate"": 503, ""Beginner"": 720}",6m 0s,"5-10 min general cardio (row/jog/bike); Air squats and goblet squats progression, ankle mobility",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""500m Ski, 40 Burpee Broad Jumps, 100m Farmer's Carry (Heavy), 50 Wall Balls. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""1000m Ski, 80 Burpee Broad Jumps, 200m Farmer's Carry (Heavy), 100 Wall Balls. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""1000m Ski, 80 Burpee Broad Jumps, 200m Farmer's Carry (Heavy), 100 Wall Balls. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""1000m Ski, 80 Burpee Broad Jumps, 200m Farmer's Carry (Heavy), 100 Wall Balls. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}",The Ultimate Grind - Expect sharp efforts and quick transitions; small mistakes add up.,243,Advanced,"1000m ski, 80 burpee broad jumps, 200m farmer's carry (heavy), 100 wall balls."
Sprint 500/500,Monostructural/cardio,For Time,"500m ski (max effort), 500m row (max effort). rest 2 minutes between rounds.","Rower, Ski Erg","Anaerobic Power, Speed Endurance","Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",Monostructural,General,Time,Intermediate,Gym,"For Sprint 500/500: Focus on consistent pacing, maintain proper form throughout, and scale appropriately to preserve workout stimulus. Break up reps strategically and prioritize breathing rhythm. See CrossFit.com for detailed guidance.",For Time - High Intensity Pacing,No description available,"{""RX"": 240, ""Intermediate"": 336, ""Beginner"": 480}",4m 0s,5-10 min general cardio (row/jog/bike),Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""250m Ski (Max Effort), 250m Row (Max Effort). Rest 1 minutes between rounds. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""500m Ski (Max Effort), 500m Row (Max Effort). Rest 2 minutes between rounds. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""500m Ski (Max Effort), 500m Row (Max Effort). Rest 2 minutes between rounds. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""500m Ski (Max Effort), 500m Row (Max Effort). Rest 2 minutes between rounds. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}",Sprint 500/500 - A for time - high intensity pacing challenge that demands focus and grit.,244,Beginner,"500m ski (max effort), 500m row (max effort). rest 2 minutes between rounds."
The Short Rest,Monostructural/cardio,For Time,"250m row, 250m ski. rest 30 seconds after each 500m set.","Rower, Ski Erg","Lactate Tolerance, Sustained Pace","Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",Monostructural,General,Time,Intermediate,Gym,"For The Short Rest: Focus on consistent pacing, maintain proper form throughout, and scale appropriately to preserve workout stimulus. Break up reps strategically and prioritize breathing rhythm. See CrossFit.com for detailed guidance.",For Time - High Intensity Pacing,No description available,"{""RX"": 240, ""Intermediate"": 336, ""Beginner"": 480}",4m 0s,5-10 min general cardio (row/jog/bike),Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""125m Row, 125m Ski. Rest 15 seconds after each 250m set. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""250m Row, 250m Ski. Rest 30 seconds after each 500m set. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""250m Row, 250m Ski. Rest 30 seconds after each 500m set. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""250m Row, 250m Ski. Rest 30 seconds after each 500m set. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}",The Short Rest - Brutal but fair; pace wisely and prioritize technique.,245,Beginner,"250m row, 250m ski. rest 30 seconds after each 500m set."
