Name,Category,Format & Duration,Instructions,Equipment Needed,Muscle Groups,Training Goals,Unnamed: 7,Unnamed: 8,Time Domain,Scaling Options,Movement Types,Workout Complexity,Target Stimulus,RX Standards,Score Type,Level,Environment,Equipment Alternatives,Energy System,Coach Notes,Movement Count,Primary Category,Difficulty Score,Movement Patterns,Stimulus,Structure Type,Description,Movement-Level-Metadata,Difficulty-Score-Computed,Difficulty-Label,Estimated-Times,Estimated-Times-Human,Warmup,Coaching-Cues,Scaling-Tiers,Demo-Search-Queries,Training-Adaptation-Tags,Equipment-Footprint,Flavor-Text
Deficit Press Test,Gymnastics/Skill,For Time (3 Rounds),"10 Deficit Handstand Push-ups (on 4-inch blocks), 15 Strict Toes-to-Bar, 20 Dumbbell Box Step-overs (50/15.9 kgs).","Blocks, Pull-up Bar, 2 DBs, Box","Shoulders, Core, Hips","Relative Strength, Gymnastic Stamina",Scale Deficit HSPU to regular HSPU; T2B to Knees-to-Elbow.,,Long,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",Gymnastics,Moderate,,9kg,Time,Intermediate,Gym,Substitute with available equipment.,Aerobic Endurance (Long),,3,Gymnastics,4,Push,For Time - High Intensity Pacing,Standard,,"[{""movement"": ""Handstand Push-Up"", ""reps"": ""10 4-"", ""type"": ""Gymnastics"", ""pattern"": ""Push"", ""equipment"": ""None (bodyweight)"", ""skill_level"": ""Intermediate""}, {""movement"": ""Toes-To-Bar"", ""reps"": ""15"", ""type"": ""Gymnastics"", ""pattern"": ""General"", ""equipment"": ""Pull-up Bar"", ""skill_level"": ""Intermediate""}, {""movement"": ""20 Dumbbell Box Step-Overs (50"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Blocks, Pull-up Bar, 2 DBs, Box"", ""skill_level"": ""Intermediate""}, {""movement"": ""15.9 Kgs)."", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Blocks, Pull-up Bar, 2 DBs, Box"", ""skill_level"": ""Intermediate""}]",8,Hard,"{""RX"": 390, ""Intermediate"": 546, ""Beginner"": 780}",6m 30s,"5-10 min general cardio (row/jog/bike); Shoulder activation: band pull-aparts, push-up progressions",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""5 Deficit Handstand Push-ups (on 2-inch blocks), 7 Strict Toes-to-Bar, 10 Dumbbell Box Step-overs (25/7.4 kgs). - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""10 Deficit Handstand Push-ups (on 4-inch blocks), 15 Strict Toes-to-Bar, 20 Dumbbell Box Step-overs (50/15.9 kgs). - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""10 Deficit Handstand Push-ups (on 4-inch blocks), 15 Strict Toes-to-Bar, 20 Dumbbell Box Step-overs (50/15.9 kgs). - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""10 Deficit Handstand Push-ups (on 4-inch blocks), 15 Strict Toes-to-Bar, 20 Dumbbell Box Step-overs (50/15.9 kgs). - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Deficit Press Test workout demo 10 Deficit Handstand Push-ups (on 4-inch blocks)"", ""CF Library Search"": ""Deficit Press Test workout demo 10 Deficit Handstand Push-ups (on 4-inch blocks) CrossFit movement demo""}","Aerobic Endurance, Gymnastics Skill, Lactate Threshold / Conditioning",Minimal,Deficit Press Test - A for time - high intensity pacing challenge that demands focus and grit.
Strongman Medley,Barbell/Weightlifting,3 Rounds For Time,"50 ft Yoke Carry (Heavy), 10 Barbell Squat Cleans (185/61.2 kgs), 50 ft Sled Pull (Heavy).","Yoke, Barbell, Sled/Rope","Full Body, Core, Hips","Functional Strength, Anaerobic Power",Reduce Yoke/Sled load or substitute Cleans for Hang Power Cleans.,,Mixed,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",Weightlifting,Moderate,,2kg,Time,Intermediate,Gym,Substitute with available equipment.,Mixed,,3,Weightlifting,4,"Hinge, Pull, Squat",For Time - High Intensity Pacing,Standard,,"[{""movement"": ""50 Ft Yoke Carry (Heavy)"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Yoke, Barbell, Sled/Rope"", ""skill_level"": ""Intermediate""}, {""movement"": ""Clean"", ""reps"": ""10 185"", ""type"": ""Weightlifting"", ""pattern"": ""Hinge"", ""equipment"": ""Barbell"", ""skill_level"": ""Intermediate""}, {""movement"": ""61.2 Kgs)"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Yoke, Barbell, Sled/Rope"", ""skill_level"": ""Intermediate""}, {""movement"": ""50 Ft Sled Pull (Heavy)."", ""reps"": """", ""type"": ""Gymnastics"", ""pattern"": ""Pull"", ""equipment"": ""Pull-up Bar"", ""skill_level"": ""Intermediate""}]",6,Moderate,"{""RX"": 330, ""Intermediate"": 461, ""Beginner"": 660}",5m 30s,"5-10 min general cardio (row/jog/bike); Hip hinge mobility: kettlebell deadlift warm-up, Romanian deadlift 3x8; Scapular pull-ups, ring rows or banded pull-ups",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""25 ft Yoke Carry (Heavy), 5 Barbell Squat Cleans (92/30.1 kgs), 25 ft Sled Pull (Heavy). - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""50 ft Yoke Carry (Heavy), 10 Barbell Squat Cleans (185/61.2 kgs), 50 ft Sled Pull (Heavy). - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""50 ft Yoke Carry (Heavy), 10 Barbell Squat Cleans (185/61.2 kgs), 50 ft Sled Pull (Heavy). - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""50 ft Yoke Carry (Heavy), 10 Barbell Squat Cleans (185/61.2 kgs), 50 ft Sled Pull (Heavy). - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Strongman Medley workout demo 50 ft Yoke Carry (Heavy)"", ""CF Library Search"": ""Strongman Medley workout demo 50 ft Yoke Carry (Heavy) CrossFit movement demo""}",Lactate Threshold / Conditioning,Moderate,Strongman Medley - A for time - high intensity pacing challenge that demands focus and grit.
Ring Complex,Gymnastics/Skill,AMRAP in 12 Minutes,"5 Ring Muscle-Ups, 10 Strict Ring Dips, 15 GHD Sit-ups.","Rings, GHD Machine","Upper Body, Core","Skill Under Fatigue, Gymnastic Endurance",Scale Muscle-Ups to C2B Pull-ups; Ring Dips to Parallel Bar Dips.,,Short,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",Gymnastics,Moderate,,Bodyweight or unspecified,Rounds,Intermediate,Gym,Substitute with available equipment.,Mixed Aerobic/Anaerobic (Sustained),,3,Gymnastics,4,"Pull, Push",Anaerobic/Mixed (AMRAP Intensity),Standard,,"[{""movement"": ""Muscle-Up"", ""reps"": ""5"", ""type"": ""Gymnastics"", ""pattern"": ""General"", ""equipment"": ""Pull-up Bar"", ""skill_level"": ""Intermediate""}, {""movement"": ""Dip"", ""reps"": ""10"", ""type"": ""Weightlifting"", ""pattern"": ""Push"", ""equipment"": ""Rings, GHD Machine"", ""skill_level"": ""Intermediate""}, {""movement"": ""Sit-Up"", ""reps"": ""15"", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Rings, GHD Machine"", ""skill_level"": ""Intermediate""}]",5,Moderate,"{""RX_rounds"": 14, ""Intermediate_rounds"": 11, ""Beginner_rounds"": 7, ""Minutes"": 12}",,"5-10 min general cardio (row/jog/bike); Shoulder activation: band pull-aparts, push-up progressions",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""2 Ring Muscle-Ups, 5 Strict Ring Dips, 7 GHD Sit-ups. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""5 Ring Muscle-Ups, 10 Strict Ring Dips, 15 GHD Sit-ups. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""5 Ring Muscle-Ups, 10 Strict Ring Dips, 15 GHD Sit-ups. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""5 Ring Muscle-Ups, 10 Strict Ring Dips, 15 GHD Sit-ups. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Ring Complex workout demo 5 Ring Muscle-Ups"", ""CF Library Search"": ""Ring Complex workout demo 5 Ring Muscle-Ups CrossFit movement demo""}","Aerobic Endurance, Gymnastics Skill",Minimal,Ring Complex - Expect sharp efforts and quick transitions; small mistakes add up.
Sandbag Carry Relay,Dumbbell/Kettlebell,EMOM for 15 Minutes,Odd: 100 ft Sandbag Shoulder Carry (Heavy). Even: 15 Burpees over Sandbag.,Sandbag (Heavy),"Core, Grip, Legs, Cardio","Odd Object Strength, Midline Stability",Reduce Sandbag weight or length of carry to 50 ft.,,Medium,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",Gymnastics,Simple,,Bodyweight or unspecified,Rounds/Load,Intermediate,Gym,Substitute with available equipment.,Mixed,,1,Gymnastics,2,General,Interval Power / Strength-Endurance,EMOM,,"[{""movement"": ""Burpee"", ""reps"": ""100 15"", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Sandbag (Heavy)"", ""skill_level"": ""Intermediate""}]",2,Easy,"{""RX_rounds"": 16, ""Intermediate_rounds"": 12, ""Beginner_rounds"": 8, ""Minutes"": 12}",,5-10 min general cardio (row/jog/bike),Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""Odd: 50 ft Sandbag Shoulder Carry (Heavy). Even: 7 Burpees over Sandbag. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""Odd: 100 ft Sandbag Shoulder Carry (Heavy). Even: 15 Burpees over Sandbag. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""Odd: 100 ft Sandbag Shoulder Carry (Heavy). Even: 15 Burpees over Sandbag. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""Odd: 100 ft Sandbag Shoulder Carry (Heavy). Even: 15 Burpees over Sandbag. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Sandbag Carry Relay workout demo Odd: 100 ft Sandbag Shoulder Carry (Heavy). Even: 15 Burpees over Sandbag."", ""CF Library Search"": ""Sandbag Carry Relay workout demo Odd: 100 ft Sandbag Shoulder Carry (Heavy). Even: 15 Burpees over Sandbag. CrossFit movement demo""}","Gymnastics Skill, Power/Speed",Minimal,Sandbag Carry Relay - A interval power / strength-endurance challenge that demands focus and grit.
Pegboard & Thruster,Gymnastics/Skill,5 Rounds For Time,"1 Pegboard Ascent (or 2 Legless Rope Climbs), 10 Thrusters (95/29.5 kgs).","Pegboard, Rope, Barbell","Upper Body, Shoulders, Legs","Strength Skill, High-Intensity Power",Scale Pegboard to 5 Wall Walks; reduce Thruster weight.,,Medium,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",Weightlifting,Simple,,5kg,Time,Intermediate,Gym,Substitute with available equipment.,Mixed,,2,Weightlifting,3,"Push, Squat",For Time - High Intensity Pacing,Standard,,"[{""movement"": ""1 Pegboard Ascent (Or 2 Legless Rope Climbs)"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Pegboard, Rope, Barbell"", ""skill_level"": ""Intermediate""}, {""movement"": ""Thruster"", ""reps"": ""10 95"", ""type"": ""Weightlifting"", ""pattern"": ""Squat"", ""equipment"": ""Barbell"", ""skill_level"": ""Intermediate""}, {""movement"": ""29.5 Kgs)."", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Pegboard, Rope, Barbell"", ""skill_level"": ""Intermediate""}]",5,Moderate,"{""RX"": 300, ""Intermediate"": 420, ""Beginner"": 600}",5m 0s,"5-10 min general cardio (row/jog/bike); Air squats and goblet squats progression, ankle mobility",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Break thrusters into manageable sets; keep front rack tight.,"{""Beginner"": ""1 Pegboard Ascent (or 1 Legless Rope Climbs), 5 Thrusters (47/14.2 kgs). - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""1 Pegboard Ascent (or 2 Legless Rope Climbs), 10 Thrusters (95/29.5 kgs). - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""1 Pegboard Ascent (or 2 Legless Rope Climbs), 10 Thrusters (95/29.5 kgs). - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""1 Pegboard Ascent (or 2 Legless Rope Climbs), 10 Thrusters (95/29.5 kgs). - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Pegboard & Thruster workout demo 1 Pegboard Ascent (or 2 Legless Rope Climbs)"", ""CF Library Search"": ""Pegboard & Thruster workout demo 1 Pegboard Ascent (or 2 Legless Rope Climbs) CrossFit movement demo""}",Lactate Threshold / Conditioning,Moderate,Pegboard & Thruster - Brutal but fair; pace wisely and prioritize technique.
Heavy Sled & Row,Monostructural/Cardio,For Time (3 Rounds),"15/12 Calorie Row (Max Sprint), 100 ft Sled Push (Heavy). Rest 1 minute between rounds.","Rower, Sled","Legs, Cardio, Hips","Explosive Power, Anaerobic Threshold",Reduce Sled load and Row calories.,,Mixed,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",Monostructural,Simple,,Bodyweight or unspecified,Time,Intermediate,Gym,Substitute with available equipment.,Mixed,,2,Monostructural,3,Pull,For Time - High Intensity Pacing,Standard,,"[{""movement"": ""Row"", ""reps"": ""12"", ""type"": ""Monostructural"", ""pattern"": ""General"", ""equipment"": ""Pull-up Bar, Row/Bike/Running"", ""skill_level"": ""Beginner""}, {""movement"": ""100 Ft Sled Push (Heavy). Rest 1 Minute Between Rounds."", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Rower, Sled"", ""skill_level"": ""Intermediate""}]",3,Easy,"{""RX"": 240, ""Intermediate"": 336, ""Beginner"": 480}",4m 0s,5-10 min general cardio (row/jog/bike),Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""7/6 Calorie Row (Max Sprint), 50 ft Sled Push (Heavy). Rest 1 minute between rounds. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""15/12 Calorie Row (Max Sprint), 100 ft Sled Push (Heavy). Rest 1 minute between rounds. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""15/12 Calorie Row (Max Sprint), 100 ft Sled Push (Heavy). Rest 1 minute between rounds. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""15/12 Calorie Row (Max Sprint), 100 ft Sled Push (Heavy). Rest 1 minute between rounds. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Heavy Sled & Row workout demo 15/12 Calorie Row (Max Sprint)"", ""CF Library Search"": ""Heavy Sled & Row workout demo 15/12 Calorie Row (Max Sprint) CrossFit movement demo""}",Lactate Threshold / Conditioning,Minimal,Heavy Sled & Row - Brutal but fair; pace wisely and prioritize technique.
Bodyweight Max Hold,Bodyweight/Travel,EMOM for 10 Minutes,Odd: Max L-Sit Hold on parallettes/bench. Even: Max Plank Hold (weighted optional).,"Parallettes/Bench, Weights (optional)",Core Strength,"Isometric Endurance, Midline Stability",Scale L-Sit to Tuck Hold.,,Medium,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",General,Simple,,Bodyweight or unspecified,Rounds/Load,Intermediate,Gym,Substitute with available equipment.,Mixed,,1,Mixed,2,General,Interval Power / Strength-Endurance,EMOM,,"[{""movement"": ""Max L"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Parallettes/Bench, Weights (optional)"", ""skill_level"": ""Intermediate""}]",2,Easy,"{""RX_rounds"": 16, ""Intermediate_rounds"": 12, ""Beginner_rounds"": 8, ""Minutes"": 12}",,5-10 min general cardio (row/jog/bike),Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""Odd: Max L-Sit Hold on parallettes/bench. Even: Max Plank Hold (weighted optional). - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""Odd: Max L-Sit Hold on parallettes/bench. Even: Max Plank Hold (weighted optional). - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""Odd: Max L-Sit Hold on parallettes/bench. Even: Max Plank Hold (weighted optional). - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""Odd: Max L-Sit Hold on parallettes/bench. Even: Max Plank Hold (weighted optional). - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Bodyweight Max Hold workout demo Odd: Max L-Sit Hold on parallettes/bench. Even: Max Plank Hold (weighted optional)."", ""CF Library Search"": ""Bodyweight Max Hold workout demo Odd: Max L-Sit Hold on parallettes/bench. Even: Max Plank Hold (weighted optional). CrossFit movement demo""}",Power/Speed,Minimal,Bodyweight Max Hold - Brutal but fair; pace wisely and prioritize technique.
Barbell & DU Penalty,AMRAP/Interval,AMRAP in 14 Minutes,"8 Power Cleans (135/43.1 kgs), 16 Box Jump Overs. If you trip the box, perform 50 Double Unders immediately.","Barbell, Box, Jump Rope","Hips, Cardio, Coordination","Explosiveness, Consistency",Reduce Box Height; scale weight.,,Medium,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Gymnastics, Monostructural, Weightlifting",Moderate,,1kg,Rounds,Intermediate,Gym,Substitute with available equipment.,Mixed Aerobic/Anaerobic (Sustained),,3,Weightlifting,4,Hinge,Aerobic/Mixed (Long AMRAP),Standard,,"[{""movement"": ""Clean"", ""reps"": ""8 135"", ""type"": ""Weightlifting"", ""pattern"": ""Hinge"", ""equipment"": ""Barbell"", ""skill_level"": ""Intermediate""}, {""movement"": ""43.1 Kgs)"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Barbell, Box, Jump Rope"", ""skill_level"": ""Intermediate""}, {""movement"": ""Box Jump"", ""reps"": ""16"", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Barbell, Box, Jump Rope"", ""skill_level"": ""Intermediate""}, {""movement"": ""Double Under"", ""reps"": ""50"", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Barbell, Box, Jump Rope"", ""skill_level"": ""Intermediate""}]",6,Moderate,"{""RX_rounds"": 13, ""Intermediate_rounds"": 10, ""Beginner_rounds"": 6, ""Minutes"": 12}",,"5-10 min general cardio (row/jog/bike); Hip hinge mobility: kettlebell deadlift warm-up, Romanian deadlift 3x8",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""4 Power Cleans (67/21.1 kgs), 8 Box Jump Overs. If you trip the box, perform 25 Double Unders immediately. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""8 Power Cleans (135/43.1 kgs), 16 Box Jump Overs. If you trip the box, perform 50 Double Unders immediately. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""8 Power Cleans (135/43.1 kgs), 16 Box Jump Overs. If you trip the box, perform 50 Double Unders immediately. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""8 Power Cleans (135/43.1 kgs), 16 Box Jump Overs. If you trip the box, perform 50 Double Unders immediately. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Barbell & DU Penalty workout demo 8 Power Cleans (135/43.1 kgs)"", ""CF Library Search"": ""Barbell & DU Penalty workout demo 8 Power Cleans (135/43.1 kgs) CrossFit movement demo""}","Aerobic Endurance, Gymnastics Skill",Moderate,Barbell & DU Penalty - Brutal but fair; pace wisely and prioritize technique.
Running & Overhead,Grind/Endurance,For Time (3 Rounds),"600m Run, 20 Overhead Squats (95/29.5 kgs), 20 Toes-to-Bar.","Barbell, Pull-up Bar, Running Space","Legs, Shoulders, Core","Aerobic Stamina, Core Stability",Reduce Run to 400m; scale OHS to Front Squats.,,Long,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Gymnastics, Monostructural",Moderate,,5kg,Time,Intermediate,Gym,Substitute with available equipment.,Aerobic Endurance (Long),,3,Gymnastics,4,Squat,For Time - High Intensity Pacing,Standard,,"[{""movement"": ""Run"", ""reps"": ""600"", ""type"": ""Monostructural"", ""pattern"": ""Locomotion"", ""equipment"": ""Row/Bike/Running"", ""skill_level"": ""Beginner""}, {""movement"": ""20 Overhead Squats (95"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Barbell, Pull-up Bar, Running Space"", ""skill_level"": ""Intermediate""}, {""movement"": ""29.5 Kgs)"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Barbell, Pull-up Bar, Running Space"", ""skill_level"": ""Intermediate""}, {""movement"": ""Toes-To-Bar"", ""reps"": ""20"", ""type"": ""Gymnastics"", ""pattern"": ""General"", ""equipment"": ""Pull-up Bar"", ""skill_level"": ""Intermediate""}]",7,Hard,"{""RX"": 360, ""Intermediate"": 503, ""Beginner"": 720}",6m 0s,5-10 min general cardio (row/jog/bike); Strides or ramped efforts for 6x20s,Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""300m Run, 10 Overhead Squats (47/14.2 kgs), 10 Toes-to-Bar. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""600m Run, 20 Overhead Squats (95/29.5 kgs), 20 Toes-to-Bar. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""600m Run, 20 Overhead Squats (95/29.5 kgs), 20 Toes-to-Bar. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""600m Run, 20 Overhead Squats (95/29.5 kgs), 20 Toes-to-Bar. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Running & Overhead workout demo 600m Run"", ""CF Library Search"": ""Running & Overhead workout demo 600m Run CrossFit movement demo""}","Aerobic Endurance, Gymnastics Skill, Lactate Threshold / Conditioning",Full Gym,Running & Overhead - Expect sharp efforts and quick transitions; small mistakes add up.
The Iron Cross,Barbell/Weightlifting,5 Rounds For Time,"5 Deadlifts (275/83.9 kgs), 5 Strict Press (115/34.0 kgs), 5 Strict Pull-ups.","Barbell, Pull-up Bar","Posterior Chain, Shoulders, Back",Absolute Strength Endurance,Reduce all weights and use banded Strict Pull-ups.,,Medium,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Gymnastics, Weightlifting",Moderate,,"9kg, 0kg",Time,Intermediate,Gym,Substitute with available equipment.,Mixed,,3,Weightlifting,4,"Hinge, Pull, Push",For Time - High Intensity Pacing,Standard,,"[{""movement"": ""Deadlift"", ""reps"": ""5 275"", ""type"": ""Weightlifting"", ""pattern"": ""Hinge"", ""equipment"": ""Barbell"", ""skill_level"": ""Intermediate""}, {""movement"": ""83.9 Kgs)"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Barbell, Pull-up Bar"", ""skill_level"": ""Intermediate""}, {""movement"": ""5 Strict Press (115"", ""reps"": """", ""type"": ""Weightlifting"", ""pattern"": ""Push"", ""equipment"": ""Barbell, Pull-up Bar"", ""skill_level"": ""Intermediate""}, {""movement"": ""34.0 Kgs)"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Barbell, Pull-up Bar"", ""skill_level"": ""Intermediate""}, {""movement"": ""Pull-Up"", ""reps"": ""5"", ""type"": ""Gymnastics"", ""pattern"": ""Pull"", ""equipment"": ""Pull-up Bar"", ""skill_level"": ""Intermediate""}]",7,Hard,"{""RX"": 360, ""Intermediate"": 503, ""Beginner"": 720}",6m 0s,"5-10 min general cardio (row/jog/bike); Hip hinge mobility: kettlebell deadlift warm-up, Romanian deadlift 3x8; Shoulder activation: band pull-aparts, push-up progressions; Scapular pull-ups, ring rows or banded pull-ups",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Maintain neutral spine; use mixed grip for heavy sets if needed.,"{""Beginner"": ""2 Deadlifts (137/41.4 kgs), 2 Strict Press (57/17.1 kgs), 2 Strict Pull-ups. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""5 Deadlifts (275/83.9 kgs), 5 Strict Press (115/34.0 kgs), 5 Strict Pull-ups. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""5 Deadlifts (275/83.9 kgs), 5 Strict Press (115/34.0 kgs), 5 Strict Pull-ups. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""5 Deadlifts (275/83.9 kgs), 5 Strict Press (115/34.0 kgs), 5 Strict Pull-ups. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""The Iron Cross workout demo 5 Deadlifts (275/83.9 kgs)"", ""CF Library Search"": ""The Iron Cross workout demo 5 Deadlifts (275/83.9 kgs) CrossFit movement demo""}","Gymnastics Skill, Lactate Threshold / Conditioning",Full Gym,The Iron Cross - A for time - high intensity pacing challenge that demands focus and grit.
Heavy D-Ball Over,Dumbbell/Kettlebell,For Time (30 Reps),"30 Dumbbell/D-Ball Over Shoulder (Heavy/Odd). Every 5 reps, perform 5 Burpees.",Heavy Dumbbell/D-Ball,"Posterior Chain, Hips, Core","Explosive Strength, Odd Object Power",Use a lighter dumbbell or object.,,Mixed,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",Gymnastics,Simple,,Bodyweight or unspecified,Time,Intermediate,Gym,Substitute with available equipment.,Mixed,,2,Gymnastics,3,General,For Time - High Intensity Pacing,Standard,,"[{""movement"": ""30 Dumbbell"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Heavy Dumbbell/D-Ball"", ""skill_level"": ""Intermediate""}, {""movement"": ""Odd). Every 5 Reps"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Heavy Dumbbell/D-Ball"", ""skill_level"": ""Intermediate""}, {""movement"": ""Burpee"", ""reps"": ""5"", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Heavy Dumbbell/D-Ball"", ""skill_level"": ""Intermediate""}]",3,Easy,"{""RX"": 240, ""Intermediate"": 336, ""Beginner"": 480}",4m 0s,5-10 min general cardio (row/jog/bike),Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""15 Dumbbell/D-Ball Over Shoulder (Heavy/Odd). Every 2 reps, perform 2 Burpees. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""30 Dumbbell/D-Ball Over Shoulder (Heavy/Odd). Every 5 reps, perform 5 Burpees. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""30 Dumbbell/D-Ball Over Shoulder (Heavy/Odd). Every 5 reps, perform 5 Burpees. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""30 Dumbbell/D-Ball Over Shoulder (Heavy/Odd). Every 5 reps, perform 5 Burpees. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Heavy D-Ball Over workout demo 30 Dumbbell/D-Ball Over Shoulder (Heavy/Odd). Every 5 reps"", ""CF Library Search"": ""Heavy D-Ball Over workout demo 30 Dumbbell/D-Ball Over Shoulder (Heavy/Odd). Every 5 reps CrossFit movement demo""}","Gymnastics Skill, Lactate Threshold / Conditioning",Minimal,Heavy D-Ball Over - Brutal but fair; pace wisely and prioritize technique.
