Name,Category,Format & Duration,Instructions,Equipment Needed,Muscle Groups,Training Goals,Time Domain,Scaling Options,Movement Types,Workout Complexity,Target Stimulus,RX Standards,Score Type,Level,Environment,Equipment Alternatives,Energy System,Coach Notes,Movement Count,Primary Category,Difficulty Score,Movement Patterns,Stimulus,Structure Type,Description,Movement-Level-Metadata,Difficulty-Score-Computed,Difficulty-Label,Estimated-Times,Estimated-Times-Human,Warmup,Coaching-Cues,Scaling-Tiers,Demo-Search-Queries,Training-Adaptation-Tags,Equipment-Footprint,Flavor-Text,Instruction_Valid,WorkoutID,DifficultyTier,Instructions_Clean
Bike/wall Ball Duet,Amrap/interval,AMRAP in 22 Minutes,"15 wall balls (20/6.4 kgs), 15/12 calorie bike, 15 box jumps (20 in).","Wall Ball, Bike, Box","Legs, Shoulders, Cardio","Muscular Endurance, Consistency",Unknown,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Gymnastics, Monostructural, Weightlifting",Moderate,General,4kg,Rounds,Intermediate,Gym,Substitute with available equipment.,Aerobic Endurance (Long),No additional notes,3,Weightlifting,4,Squat,Aerobic/Mixed (Long AMRAP),Standard,No description available,"[{""movement"": ""Wall Ball"", ""reps"": ""15 20"", ""type"": ""Weightlifting"", ""pattern"": ""Squat"", ""equipment"": ""Wall Ball"", ""skill_level"": ""Intermediate""}, {""movement"": ""6.4 Kgs)"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Wall Ball, Bike, Box"", ""skill_level"": ""Intermediate""}, {""movement"": ""12 Calorie Bike"", ""reps"": """", ""type"": ""Monostructural"", ""pattern"": ""General"", ""equipment"": ""Row/Bike/Running"", ""skill_level"": ""Beginner""}, {""movement"": ""Box Jump"", ""reps"": ""15 20"", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Wall Ball, Bike, Box"", ""skill_level"": ""Intermediate""}]",5,Moderate,"{""RX_rounds"": 14, ""Intermediate_rounds"": 11, ""Beginner_rounds"": 7, ""Minutes"": 12}",5m 0s,"5-10 min general cardio (row/jog/bike); Air squats and goblet squats progression, ankle mobility",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Set a rhythm and target the top of the wall mark consistently.,"{""Beginner"": ""7 Wall Balls (10/3.2 kgs), 7/6 Calorie Bike, 7 Box Jumps (10 in). - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""15 Wall Balls (20/6.4 kgs), 15/12 Calorie Bike, 15 Box Jumps (20 in). - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""15 Wall Balls (20/6.4 kgs), 15/12 Calorie Bike, 15 Box Jumps (20 in). - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""15 Wall Balls (20/6.4 kgs), 15/12 Calorie Bike, 15 Box Jumps (20 in). - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Bike/Wall Ball Duet workout demo 15 Wall Balls (20/6.4 kgs)"", ""CF Library Search"": ""Bike/Wall Ball Duet workout demo 15 Wall Balls (20/6.4 kgs) CrossFit movement demo""}","Aerobic Endurance, Gymnastics Skill",Minimal,Bike/Wall Ball Duet - Brutal but fair; pace wisely and prioritize technique.,OK,225,Intermediate,"15 wall balls (20/6.4 kgs), 15/12 calorie bike, 15 box jumps (20 in)."
5K Engine Test,Monostructural/cardio,For Time,"5000m ski-erg. every 5 minutes, stop and perform 10 strict Pull-ups.","Ski Erg, Pull-up Bar","Cardio, Back, Core","Sustained Aerobic Power, Pacing",Unknown,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",Gymnastics,Moderate,General,Bodyweight or unspecified,Time,Intermediate,Gym,Substitute with available equipment.,Mixed,No additional notes,3,Gymnastics,4,Pull,For Time - High Intensity Pacing,Standard,No description available,"[{""movement"": ""5000M Ski-Erg. Every 5 Minutes"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Ski Erg, Pull-up Bar"", ""skill_level"": ""Intermediate""}, {""movement"": ""Pull-Up"", ""reps"": ""10"", ""type"": ""Gymnastics"", ""pattern"": ""Pull"", ""equipment"": ""Pull-up Bar"", ""skill_level"": ""Intermediate""}]",4,Moderate,"{""RX"": 270, ""Intermediate"": 378, ""Beginner"": 540}",4m 30s,"5-10 min general cardio (row/jog/bike); Scapular pull-ups, ring rows or banded pull-ups",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Use kip efficiently; consider banded pull-ups to keep turnover high.,"{""Beginner"": ""2500m Ski-Erg. Every 2 minutes, stop and perform 5 Strict Pull-ups. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""5000m Ski-Erg. Every 5 minutes, stop and perform 10 Strict Pull-ups. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""5000m Ski-Erg. Every 5 minutes, stop and perform 10 Strict Pull-ups. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""5000m Ski-Erg. Every 5 minutes, stop and perform 10 Strict Pull-ups. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""5K Engine Test workout demo 5000m Ski-Erg. Every 5 minutes"", ""CF Library Search"": ""5K Engine Test workout demo 5000m Ski-Erg. Every 5 minutes CrossFit movement demo""}","Gymnastics Skill, Lactate Threshold / Conditioning",Minimal,5K Engine Test - Brutal but fair; pace wisely and prioritize technique.,OK,226,Intermediate,"5000m ski-erg. every 5 minutes, stop and perform 10 strict pull-ups."
Power Endurance AMRAP,Amrap/interval,AMRAP in 18 Minutes,"6 hang power snatches (95/29.5 kgs), 12 toes-to-bar, 18 abmat Sit-ups.","Barbell (95/29.5 kgs), Pull-up Bar","Hips, Core, Back","Power Endurance, Midline Stability",Unknown,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Gymnastics, Weightlifting",Moderate,General,5kg,Rounds,Intermediate,Gym,Substitute with available equipment.,Mixed Aerobic/Anaerobic (Sustained),No additional notes,3,Weightlifting,4,Hinge,Aerobic/Mixed (Long AMRAP),Standard,No description available,"[{""movement"": ""Snatch"", ""reps"": ""6 95"", ""type"": ""Weightlifting"", ""pattern"": ""Hinge"", ""equipment"": ""Barbell"", ""skill_level"": ""Intermediate""}, {""movement"": ""29.5 Kgs)"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Barbell (95/29.5 kgs), Pull-up Bar"", ""skill_level"": ""Intermediate""}, {""movement"": ""Toes-To-Bar"", ""reps"": ""12"", ""type"": ""Gymnastics"", ""pattern"": ""General"", ""equipment"": ""Pull-up Bar"", ""skill_level"": ""Intermediate""}, {""movement"": ""Sit-Up"", ""reps"": ""18"", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Barbell (95/29.5 kgs), Pull-up Bar"", ""skill_level"": ""Intermediate""}]",6,Moderate,"{""RX_rounds"": 13, ""Intermediate_rounds"": 10, ""Beginner_rounds"": 6, ""Minutes"": 12}",5m 0s,"5-10 min general cardio (row/jog/bike); Hip hinge mobility: kettlebell deadlift warm-up, Romanian deadlift 3x8",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""3 Hang Power Snatches (47/14.2 kgs), 6 Toes-to-Bar, 9 AbMat Sit-ups. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""6 Hang Power Snatches (95/29.5 kgs), 12 Toes-to-Bar, 18 AbMat Sit-ups. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""6 Hang Power Snatches (95/29.5 kgs), 12 Toes-to-Bar, 18 AbMat Sit-ups. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""6 Hang Power Snatches (95/29.5 kgs), 12 Toes-to-Bar, 18 AbMat Sit-ups. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Power Endurance AMRAP workout demo 6 Hang Power Snatches (95/29.5 kgs)"", ""CF Library Search"": ""Power Endurance AMRAP workout demo 6 Hang Power Snatches (95/29.5 kgs) CrossFit movement demo""}","Aerobic Endurance, Gymnastics Skill",Full Gym,Power Endurance AMRAP - A aerobic/mixed (long amrap) challenge that demands focus and grit.,OK,227,Intermediate,"6 hang power snatches (95/29.5 kgs), 12 toes-to-bar, 18 abmat sit-ups."
High Rep Thruster II,Grind/endurance,For Time (3 Rounds),"50 double unders, 25 thrusters (75/24.9 kgs).","Jump Rope, Barbell (75/24.9 kgs)","Legs, Shoulders, Cardio","Skill Under Fatigue, Lactic Tolerance",Unknown,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Monostructural, Weightlifting",Simple,General,9kg,Time,Intermediate,Gym,Substitute with available equipment.,Mixed,No additional notes,2,Weightlifting,3,"Push, Squat",For Time - High Intensity Pacing,Standard,No description available,"[{""movement"": ""Double Under"", ""reps"": ""50"", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Jump Rope, Barbell (75/24.9 kgs)"", ""skill_level"": ""Intermediate""}, {""movement"": ""Thruster"", ""reps"": ""25 75"", ""type"": ""Weightlifting"", ""pattern"": ""Squat"", ""equipment"": ""Barbell"", ""skill_level"": ""Intermediate""}, {""movement"": ""24.9 Kgs)."", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Jump Rope, Barbell (75/24.9 kgs)"", ""skill_level"": ""Intermediate""}]",5,Moderate,"{""RX"": 300, ""Intermediate"": 420, ""Beginner"": 600}",5m 0s,"5-10 min general cardio (row/jog/bike); Air squats and goblet squats progression, ankle mobility",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Break thrusters into manageable sets; keep front rack tight.,"{""Beginner"": ""25 Double Unders, 12 Thrusters (37/12.4 kgs). - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""50 Double Unders, 25 Thrusters (75/24.9 kgs). - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""50 Double Unders, 25 Thrusters (75/24.9 kgs). - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""50 Double Unders, 25 Thrusters (75/24.9 kgs). - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""High Rep Thruster II workout demo 50 Double Unders"", ""CF Library Search"": ""High Rep Thruster II workout demo 50 Double Unders CrossFit movement demo""}",Lactate Threshold / Conditioning,Moderate,High Rep Thruster II - A for time - high intensity pacing challenge that demands focus and grit.,OK,228,Intermediate,"50 double unders, 25 thrusters (75/24.9 kgs)."
Rowing EMOM Cycle,Emom/pacing,EMOM for 24 Minutes,odd: 250m row (for pace). even: 10 burpees over rower.,Rower,"Cardio, Hips, Full Body","Pacing Strategy, Aerobic Power",Unknown,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Gymnastics, Monostructural",Simple,General,Bodyweight or unspecified,Rounds/Load,Intermediate,Gym,Substitute with available equipment.,Mixed,No additional notes,1,Gymnastics,2,Pull,Interval Power / Strength-Endurance,EMOM,No description available,"[{""movement"": ""Row"", ""reps"": ""250 10"", ""type"": ""Monostructural"", ""pattern"": ""General"", ""equipment"": ""Pull-up Bar, Row/Bike/Running"", ""skill_level"": ""Beginner""}]",4,Moderate,"{""RX_rounds"": 15, ""Intermediate_rounds"": 12, ""Beginner_rounds"": 7, ""Minutes"": 12}",Time varies by athlete,5-10 min general cardio (row/jog/bike),Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""Odd: 125m Row (for pace). Even: 5 Burpees over Rower. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""Odd: 250m Row (for pace). Even: 10 Burpees over Rower. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""Odd: 250m Row (for pace). Even: 10 Burpees over Rower. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""Odd: 250m Row (for pace). Even: 10 Burpees over Rower. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Rowing EMOM Cycle workout demo Odd: 250m Row (for pace). Even: 10 Burpees over Rower."", ""CF Library Search"": ""Rowing EMOM Cycle workout demo Odd: 250m Row (for pace). Even: 10 Burpees over Rower. CrossFit movement demo""}","Gymnastics Skill, Power/Speed",Minimal,Rowing EMOM Cycle - Brutal but fair; pace wisely and prioritize technique.,OK,229,Intermediate,Odd: 250m row (for pace). even: 10 burpees over rower.
Bodyweight Endurance,Bodyweight/travel,For Time (5 Rounds),"50 air squats, 400m run.",Running Space,"Legs, Cardio","High Volume Legs, Aerobic Stamina",Unknown,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",Monostructural,Simple,Long aerobic gymnastics endurance.,Bodyweight or unspecified,Time,Intermediate,Gym,Substitute with available equipment.,Mixed,Move continuously; avoid red-lining; break push-ups early.,2,Monostructural,3,Squat,For Time - High Intensity Pacing,Standard,No description available,"[{""movement"": ""50 Air Squats"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Running Space"", ""skill_level"": ""Intermediate""}, {""movement"": ""Run"", ""reps"": ""400"", ""type"": ""Monostructural"", ""pattern"": ""Locomotion"", ""equipment"": ""Row/Bike/Running"", ""skill_level"": ""Beginner""}]",3,Easy,"{""RX"": 240, ""Intermediate"": 336, ""Beginner"": 480}",4m 0s,5-10 min general cardio (row/jog/bike); Strides or ramped efforts for 6x20s,Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""25 Air Squats, 200m Run. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""50 Air Squats, 400m Run. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""50 Air Squats, 400m Run. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""50 Air Squats, 400m Run. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Bodyweight Endurance workout demo 50 Air Squats"", ""CF Library Search"": ""Bodyweight Endurance workout demo 50 Air Squats CrossFit movement demo""}",Lactate Threshold / Conditioning,Minimal,Bodyweight Endurance - A for time - high intensity pacing challenge that demands focus and grit.,OK,230,Beginner,"50 air squats, 400m run."
Dumbbell Engine Cycle,Dumbbell/kettlebell,For Time (4 Rounds),"20 dumbbell thrusters (35/11.3 kgs), 400m run.",2 Dumbbells (35/11.3 kgs),"Full Body, Cardio","Muscular Endurance, Locomotor Skill",Unknown,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Monostructural, Weightlifting",Simple,General,3kg,Time,Intermediate,Gym,Substitute with available equipment.,Aerobic Endurance (Long),No additional notes,2,Weightlifting,3,"Push, Squat",For Time - High Intensity Pacing,Standard,No description available,"[{""movement"": ""Thruster"", ""reps"": ""20 35"", ""type"": ""Weightlifting"", ""pattern"": ""Squat"", ""equipment"": ""Barbell"", ""skill_level"": ""Intermediate""}, {""movement"": ""11.3 Kgs)"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""2 Dumbbells (35/11.3 kgs)"", ""skill_level"": ""Intermediate""}, {""movement"": ""Run"", ""reps"": ""400"", ""type"": ""Monostructural"", ""pattern"": ""Locomotion"", ""equipment"": ""Row/Bike/Running"", ""skill_level"": ""Beginner""}]",7,Hard,"{""RX"": 360, ""Intermediate"": 503, ""Beginner"": 720}",6m 0s,"5-10 min general cardio (row/jog/bike); Air squats and goblet squats progression, ankle mobility; Strides or ramped efforts for 6x20s",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Break thrusters into manageable sets; keep front rack tight.,"{""Beginner"": ""10 Dumbbell Thrusters (17/5.1 kgs), 200m Run. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""20 Dumbbell Thrusters (35/11.3 kgs), 400m Run. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""20 Dumbbell Thrusters (35/11.3 kgs), 400m Run. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""20 Dumbbell Thrusters (35/11.3 kgs), 400m Run. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Dumbbell Engine Cycle workout demo 20 Dumbbell Thrusters (35/11.3 kgs)"", ""CF Library Search"": ""Dumbbell Engine Cycle workout demo 20 Dumbbell Thrusters (35/11.3 kgs) CrossFit movement demo""}","Aerobic Endurance, Lactate Threshold / Conditioning",Minimal,Dumbbell Engine Cycle - A for time - high intensity pacing challenge that demands focus and grit.,OK,231,Advanced,"20 dumbbell thrusters (35/11.3 kgs), 400m run."
Heavy Hold Penalty,Grind/endurance,For Time (5 Rounds),"15 deadlifts (225/70.3 kgs). after each set, hold a heavy Kettlebell/dumbbell farmer's carry for 1 minute (static hold or walk). for time","Barbell (225/70.3 kgs), Heavy KB/DB","Posterior Chain, Grip, Core","Strength Endurance, Isometric Stamina",Unknown,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",Weightlifting,Moderate,General,3kg,Time,Intermediate,Gym,Substitute with available equipment.,Mixed,No additional notes,2,Weightlifting,3,Hinge,For Time - High Intensity Pacing,Standard,No description available,"[{""movement"": ""Deadlift"", ""reps"": ""15 225"", ""type"": ""Weightlifting"", ""pattern"": ""Hinge"", ""equipment"": ""Barbell"", ""skill_level"": ""Intermediate""}, {""movement"": ""70.3 Kgs). After Each Set"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Barbell (225/70.3 kgs), Heavy KB/DB"", ""skill_level"": ""Intermediate""}, {""movement"": ""Kettlebell"", ""reps"": """", ""type"": ""Weightlifting"", ""pattern"": ""Hinge"", ""equipment"": ""Kettlebell"", ""skill_level"": ""Intermediate""}, {""movement"": ""Dumbbell Farmer'S Carry For 1 Minute (Static Hold Or Walk)."", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Barbell (225/70.3 kgs), Heavy KB/DB"", ""skill_level"": ""Intermediate""}]",5,Moderate,"{""RX"": 300, ""Intermediate"": 420, ""Beginner"": 600}",5m 0s,"5-10 min general cardio (row/jog/bike); Hip hinge mobility: kettlebell deadlift warm-up, Romanian deadlift 3x8",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Maintain neutral spine; use mixed grip for heavy sets if needed. Aim for unbroken swings if possible; hinge from the hips.,"{""Beginner"": ""7 Deadlifts (112/35.1 kgs). After each set, hold a Heavy Kettlebell/Dumbbell Farmer's Carry for 1 minute (static hold or walk). - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""15 Deadlifts (225/70.3 kgs). After each set, hold a Heavy Kettlebell/Dumbbell Farmer's Carry for 1 minute (static hold or walk). - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""15 Deadlifts (225/70.3 kgs). After each set, hold a Heavy Kettlebell/Dumbbell Farmer's Carry for 1 minute (static hold or walk). - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""15 Deadlifts (225/70.3 kgs). After each set, hold a Heavy Kettlebell/Dumbbell Farmer's Carry for 1 minute (static hold or walk). - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Heavy Hold Penalty workout demo 15 Deadlifts (225/70.3 kgs). After each set"", ""CF Library Search"": ""Heavy Hold Penalty workout demo 15 Deadlifts (225/70.3 kgs). After each set CrossFit movement demo""}",Lactate Threshold / Conditioning,Moderate,Heavy Hold Penalty - Expect sharp efforts and quick transitions; small mistakes add up.,CHECK,232,Intermediate,"15 deadlifts (225/70.3 kgs). after each set, hold a heavy kettlebell/dumbbell farmer's carry for 1 minute (static hold or walk). complete the following for time"
Hyrox Half,Grind/endurance,For Time,"500m ski erg, 25m sled push (heavy), 400m run, 500m row, 50m farmer's carry (heavy), 15 wall balls.","Ski Erg, Sled, KB/DBs, Wall Ball","Full Body, Stamina","Metabolic Transition, Pacing",Unknown,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Monostructural, Weightlifting",Complex,General,Bodyweight or unspecified,Time,Intermediate,Gym,Substitute with available equipment.,Mixed,No additional notes,6,Weightlifting,6,"Pull, Squat",For Time - High Intensity Pacing,Standard,No description available,"[{""movement"": ""500M Ski Erg"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Ski Erg, Sled, KB/DBs, Wall Ball"", ""skill_level"": ""Intermediate""}, {""movement"": ""25M Sled Push (Heavy)"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Ski Erg, Sled, KB/DBs, Wall Ball"", ""skill_level"": ""Intermediate""}, {""movement"": ""Run"", ""reps"": ""400"", ""type"": ""Monostructural"", ""pattern"": ""Locomotion"", ""equipment"": ""Row/Bike/Running"", ""skill_level"": ""Beginner""}, {""movement"": ""Row"", ""reps"": ""500"", ""type"": ""Monostructural"", ""pattern"": ""General"", ""equipment"": ""Pull-up Bar, Row/Bike/Running"", ""skill_level"": ""Beginner""}, {""movement"": ""50M Farmer'S Carry (Heavy)"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Ski Erg, Sled, KB/DBs, Wall Ball"", ""skill_level"": ""Intermediate""}, {""movement"": ""Wall Ball"", ""reps"": ""15"", ""type"": ""Weightlifting"", ""pattern"": ""Squat"", ""equipment"": ""Wall Ball"", ""skill_level"": ""Intermediate""}]",6,Moderate,"{""RX"": 330, ""Intermediate"": 461, ""Beginner"": 660}",5m 30s,"5-10 min general cardio (row/jog/bike); Air squats and goblet squats progression, ankle mobility; Strides or ramped efforts for 6x20s",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""250m Ski Erg, 12m Sled Push (Heavy), 200m Run, 250m Row, 25m Farmer's Carry (Heavy), 7 Wall Balls. - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""500m Ski Erg, 25m Sled Push (Heavy), 400m Run, 500m Row, 50m Farmer's Carry (Heavy), 15 Wall Balls. - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""500m Ski Erg, 25m Sled Push (Heavy), 400m Run, 500m Row, 50m Farmer's Carry (Heavy), 15 Wall Balls. - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""500m Ski Erg, 25m Sled Push (Heavy), 400m Run, 500m Row, 50m Farmer's Carry (Heavy), 15 Wall Balls. - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Hyrox Half workout demo 500m Ski Erg"", ""CF Library Search"": ""Hyrox Half workout demo 500m Ski Erg CrossFit movement demo""}",Lactate Threshold / Conditioning,Minimal,Hyrox Half - Brutal but fair; pace wisely and prioritize technique.,OK,234,Intermediate,"500m ski erg, 25m sled push (heavy), 400m run, 500m row, 50m farmer's carry (heavy), 15 wall balls."
The Burpee Tax,Monostructural/cardio,5 Rounds For Time,"400m run, 15 burpee broad jumps (equivalent to 30m).",Running Space,"Legs, Cardio, Hips","Running Under Fatigue, Explosiveness",Unknown,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).","Gymnastics, Monostructural",Simple,General,Bodyweight or unspecified,Time,Intermediate,Gym,Substitute with available equipment.,Mixed,No additional notes,2,Gymnastics,3,General,For Time - High Intensity Pacing,Standard,No description available,"[{""movement"": ""Run"", ""reps"": ""400"", ""type"": ""Monostructural"", ""pattern"": ""Locomotion"", ""equipment"": ""Row/Bike/Running"", ""skill_level"": ""Beginner""}, {""movement"": ""Burpee"", ""reps"": ""15 30"", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Running Space"", ""skill_level"": ""Intermediate""}]",3,Easy,"{""RX"": 240, ""Intermediate"": 336, ""Beginner"": 480}",4m 0s,5-10 min general cardio (row/jog/bike); Strides or ramped efforts for 6x20s,Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""200m Run, 7 Burpee Broad Jumps (equivalent to 15m). - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""400m Run, 15 Burpee Broad Jumps (equivalent to 30m). - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""400m Run, 15 Burpee Broad Jumps (equivalent to 30m). - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""400m Run, 15 Burpee Broad Jumps (equivalent to 30m). - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""The Burpee Tax workout demo 400m Run"", ""CF Library Search"": ""The Burpee Tax workout demo 400m Run CrossFit movement demo""}","Gymnastics Skill, Lactate Threshold / Conditioning",Minimal,The Burpee Tax - Brutal but fair; pace wisely and prioritize technique.,OK,235,Beginner,"400m run, 15 burpee broad jumps (equivalent to 30m)."
Sled Double,Grind/endurance,For Time (3 Rounds),"50m sled push (very heavy), 50m sled pull (very heavy), 20 sandbag squats (heavy).","Sled, Sandbag","Legs, Hips, Core","Maximal Strength Endurance, Grip",Unknown,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",General,Moderate,General,Bodyweight or unspecified,Time,Intermediate,Gym,Substitute with available equipment.,Aerobic Endurance (Long),No additional notes,3,Mixed,4,"Pull, Squat",For Time - High Intensity Pacing,Standard,No description available,"[{""movement"": ""50M Sled Push (Very Heavy)"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Sled, Sandbag"", ""skill_level"": ""Intermediate""}, {""movement"": ""50M Sled Pull (Very Heavy)"", ""reps"": """", ""type"": ""Gymnastics"", ""pattern"": ""Pull"", ""equipment"": ""Pull-up Bar"", ""skill_level"": ""Intermediate""}, {""movement"": ""20 Sandbag Squats (Heavy)."", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Sled, Sandbag"", ""skill_level"": ""Intermediate""}]",6,Moderate,"{""RX"": 330, ""Intermediate"": 461, ""Beginner"": 660}",5m 30s,"5-10 min general cardio (row/jog/bike); Scapular pull-ups, ring rows or banded pull-ups",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Use kip efficiently; consider banded pull-ups to keep turnover high.,"{""Beginner"": ""25m Sled Push (Very Heavy), 25m Sled Pull (Very Heavy), 10 Sandbag Squats (Heavy). - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""50m Sled Push (Very Heavy), 50m Sled Pull (Very Heavy), 20 Sandbag Squats (Heavy). - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""50m Sled Push (Very Heavy), 50m Sled Pull (Very Heavy), 20 Sandbag Squats (Heavy). - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""50m Sled Push (Very Heavy), 50m Sled Pull (Very Heavy), 20 Sandbag Squats (Heavy). - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Sled Double workout demo 50m Sled Push (Very Heavy)"", ""CF Library Search"": ""Sled Double workout demo 50m Sled Push (Very Heavy) CrossFit movement demo""}","Aerobic Endurance, Lactate Threshold / Conditioning",Minimal,Sled Double - Brutal but fair; pace wisely and prioritize technique.,OK,236,Intermediate,"50m sled push (very heavy), 50m sled pull (very heavy), 20 sandbag squats (heavy)."
